Version,Version_Season,Season,Advantage_Id,Advantage_Type,Clue_Details,Location_Found,Conditions,Season Advantage ID
US,US11,11,1,Preventative Hidden Immunity Idol,Found without clue,Found around camp,Play before votes are cast,US111
US,US12,12,1,Super Idol,Found on Exile,Advantage from Exile,Play after votes are read; Valid until F4,US121
US,US13,13,1,Super Idol,Found on Exile,Advantage from Exile,Play after votes are read; Valid until F4,US131
US,US14,14,1,Hidden Immunity Idol,Found on Exile,Found around camp,nan,US141
US,US14,14,2,Hidden Immunity Idol,Someone shared the clue,Found around camp,nan,US142
US,US14,14,3,Hidden Immunity Idol,Someone shared the clue,Found around camp,nan,US143
US,US15,15,1,Hidden Immunity Idol,Someone shared the clue,Found around camp,nan,US151
US,US15,15,2,Hidden Immunity Idol,Someone shared the clue,Found around camp,nan,US152
US,US16,16,1,Hidden Immunity Idol,Found on Exile,Advantage from Exile,nan,US161
US,US16,16,2,Hidden Immunity Idol,Found on Exile,Advantage from Exile,nan,US162
US,US16,16,3,Hidden Immunity Idol,Found on Exile,Found around camp,nan,US163
US,US17,17,1,Hidden Immunity Idol,Found on Exile,Advantage from Exile,Valid until F6,US171
US,US17,17,2,Hidden Immunity Idol,Found at reward,Found at reward,Valid until F6,US172
US,US18,18,1,Hidden Immunity Idol,Found on Exile,Found around camp,Valid until F6,US181
US,US18,18,2,Hidden Immunity Idol,Found on Exile,Found around camp,Valid until F6,US182
US,US19,19,1,Hidden Immunity Idol,Found without clue,Found around camp,Valid until F6,US191
US,US19,19,2,Hidden Immunity Idol,Found without clue,Found around camp,Valid until F6,US192
US,US19,19,3,Hidden Immunity Idol,Found without clue,Found around camp,Valid until F6,US193
US,US19,19,4,Hidden Immunity Idol,Found at reward,Found around camp,Valid until F6,US194
US,US20,20,1,Hidden Immunity Idol,Found at reward,Found around camp,Valid until F6,US201
US,US20,20,2,Hidden Immunity Idol,Found at reward,Found around camp,Valid until F6,US202
US,US20,20,3,Hidden Immunity Idol,Found at reward,Found around camp,Valid until F6,US203
US,US20,20,4,Hidden Immunity Idol,Found at reward,Found around camp,Valid until F6,US204
US,US20,20,5,Hidden Immunity Idol,Someone shared the clue,Found around camp,Valid until F6,US205
US,US20,20,6,Hidden Immunity Idol,Found at reward,Found around camp,Valid until F6,US206
US,US21,21,1,Hidden Immunity Idol,Someone shared the clue,Found around camp,Valid until F6,US211
US,US21,21,2,Hidden Immunity Idol,Found at reward,Found around camp,Valid until F6,US212
US,US22,22,1,Hidden Immunity Idol,Found without clue,Found around camp,nan,US221
US,US22,22,2,Hidden Immunity Idol,Found without clue,Found around camp,nan,US222
US,US22,22,3,Hidden Immunity Idol,Found at reward,Found around camp,nan,US223
US,US23,23,1,Hidden Immunity Idol,Found without clue,Found around camp,nan,US231
US,US23,23,2,Hidden Immunity Idol,Someone shared the clue,Found around camp,nan,US232
US,US24,24,1,Hidden Immunity Idol,Found without clue,Found around camp,Idol was tribe-specific,US241
US,US24,24,2,Hidden Immunity Idol,Found without clue,Found around camp,nan,US242
US,US24,24,3,Hidden Immunity Idol,Found at reward,Found around camp,nan,US243
US,US25,25,1,Hidden Immunity Idol,Found around camp,Found around camp,nan,US251
US,US25,25,2,Hidden Immunity Idol,Someone shared the clue,Found around camp,nan,US252
US,US25,25,3,Hidden Immunity Idol,Found without clue,Found around camp,nan,US253
US,US26,26,1,Hidden Immunity Idol,Found without clue,Found around camp,nan,US261
US,US26,26,2,Hidden Immunity Idol,Found without clue,Found around camp,nan,US262
US,US26,26,3,Hidden Immunity Idol,Found without clue,Found around camp,nan,US263
US,US26,26,4,Hidden Immunity Idol,Found without clue,Found around camp,nan,US264
US,US26,26,5,Hidden Immunity Idol,Found at reward,Found around camp,nan,US265
US,US27,27,1,Hidden Immunity Idol,Someone shared the clue,Found around camp,nan,US271
US,US27,27,2,Hidden Immunity Idol,Someone shared the clue,Found around camp,nan,US272
US,US28,28,1,Hidden Immunity Idol,Got clue from a morale dilemma,Found around camp,nan,US281
US,US28,28,2,Hidden Immunity Idol,Found at reward,Found around camp,nan,US282
US,US28,28,3,Hidden Immunity Idol,Found without clue,Found around camp,nan,US283
US,US28,28,4,Hidden Immunity Idol,Found at reward,Found around camp,nan,US284
US,US28,28,5,Super Idol,Found without clue,Found around camp,Play after votes are read; Valid until F5,US285
US,US28,28,6,Hidden Immunity Idol,Got clue at auction,Found around camp,nan,US286
US,US29,29,1,Hidden Immunity Idol,Someone shared the clue,Found around camp,nan,US291
US,US29,29,2,Hidden Immunity Idol,Found on Exile,Found around camp,nan,US292
US,US29,29,3,Hidden Immunity Idol,Found on Exile,Advantage from Exile,nan,US293
