Version,Version_Season,Season,Castaway_Id,Advantage_Id,Sequence_Id,Event,Success,Season_Advantage_Id,Season_Castaway_Id,Movement_Id
US,US11,11,US0161,1,1,Found,nan,US111,US11US0161,1
US,US11,11,US0161,1,2,Played,Yes,US111,US11US0161,2
US,US12,12,US0180,1,1,Found,nan,US121,US12US0180,3
US,US12,12,US0180,1,2,Expired,nan,US121,US12US0180,4
US,US13,13,US0202,1,1,Found,nan,US131,US13US0202,5
US,US13,13,US0202,1,2,Expired,nan,US131,US13US0202,6
US,US14,14,US0218,1,1,Found,nan,US141,US14US0218,7
US,US14,14,US0218,1,2,Played,Yes,US141,US14US0218,8
US,US14,14,US0214,2,1,Found,nan,US142,US14US0214,9
US,US14,14,US0215,2,2,Received,nan,US142,US14US0215,10
US,US14,14,US0215,2,3,Played,Not needed,US142,US14US0215,11
US,US14,14,US0221,3,1,Found,nan,US143,US14US0221,12
US,US14,14,US0221,3,2,Played,Not needed,US143,US14US0221,13
US,US15,15,US0237,1,1,Found,nan,US151,US15US0237,14
US,US15,15,US0231,1,2,Received,nan,US151,US15US0231,15
US,US15,15,US0231,1,3,Voted out with advantage,nan,US151,US15US0231,16
US,US15,15,US0231,2,1,Found,nan,US152,US15US0231,17
US,US15,15,US0231,2,2,Voted out with advantage,nan,US152,US15US0231,18
US,US16,16,US0201,1,1,Found,nan,US161,US16US0201,19
US,US16,16,US0201,1,2,Voted out with advantage,nan,US161,US16US0201,20
US,US16,16,US0244,2,1,Found,nan,US162,US16US0244,21
US,US16,16,US0244,2,2,Voted out with advantage,nan,US162,US16US0244,22
US,US16,16,US0235,3,1,Found,nan,US163,US16US0235,23
US,US16,16,US0235,3,2,Played,Yes,US163,US16US0235,24
US,US17,17,US0263,1,1,Found,nan,US171,US17US0263,25
US,US17,17,US0254,1,2,Received,nan,US171,US17US0254,26
US,US17,17,US0263,1,3,Received,nan,US171,US17US0263,27
US,US17,17,US0263,1,4,Played,Not needed,US171,US17US0263,28
US,US17,17,US0258,2,1,Found,nan,US172,US17US0258,29
US,US17,17,US0258,2,2,Discarded,nan,US172,US17US0258,30
US,US18,18,US0273,1,1,Found,nan,US181,US18US0273,31
US,US18,18,US0273,1,2,Voted out with advantage,nan,US181,US18US0273,32
US,US18,18,US0278,2,1,Found,nan,US182,US18US0278,33
US,US18,18,US0280,2,2,Received,nan,US182,US18US0280,34
US,US18,18,US0280,2,3,Expired,nan,US182,US18US0280,35
US,US19,19,US0300,1,1,Found,nan,US191,US19US0300,36
US,US19,19,US0300,1,2,Played,Not needed,US191,US19US0300,37
US,US19,19,US0290,2,1,Found,nan,US192,US19US0290,38
US,US19,19,US0290,2,2,Voted out with advantage,nan,US192,US19US0290,39
US,US19,19,US0300,3,1,Found,nan,US193,US19US0300,40
US,US19,19,US0300,3,2,Played,Yes,US193,US19US0300,41
US,US19,19,US0300,4,1,Found,nan,US194,US19US0300,42
US,US19,19,US0300,4,2,Expired,nan,US194,US19US0300,43
US,US20,20,US0150,1,1,Found,nan,US201,US20US0150,44
US,US20,20,US0150,1,2,Played,Yes,US201,US20US0150,45
US,US20,20,US0300,2,1,Found,nan,US202,US20US0300,46
US,US20,20,US0300,2,2,Played,Yes,US202,US20US0300,47
US,US20,20,US0281,3,1,Found,nan,US203,US20US0281,48
US,US20,20,US0300,3,2,Received,nan,US203,US20US0300,49
US,US20,20,US0197,3,3,Received,nan,US203,US20US0197,50
US,US20,20,US0197,3,4,Played,Not needed,US203,US20US0197,51
US,US20,20,US0197,4,1,Found,nan,US204,US20US0197,52
US,US20,20,US0197,4,2,Played,Yes,US204,US20US0197,53
US,US20,20,US0300,5,1,Found,nan,US205,US20US0300,54
US,US20,20,US0300,5,2,Played,Not needed,US205,US20US0300,55
US,US20,20,US0112,6,1,Found,nan,US206,US20US0112,56
US,US20,20,US0112,6,2,Played,Not needed,US206,US20US0112,57
US,US21,21,US0311,1,1,Found,nan,US211,US21US0311,58
US,US21,21,US0319,1,2,Received,nan,US211,US21US0319,59
US,US21,21,US0319,1,3,Played,Not needed,US211,US21US0319,60
US,US21,21,US0313,2,1,Found,nan,US212,US21US0313,61
US,US21,21,US0320,2,2,Received,nan,US212,US21US0320,62
US,US21,21,US0320,2,3,Received,nan,US212,US21US0320,63
US,US21,21,US0320,2,4,Played,Not needed,US212,US21US0320,64
US,US22,22,US0324,1,1,Found,nan,US221,US22US0324,65
US,US22,22,US0324,1,2,Played,Not needed,US221,US22US0324,66
US,US22,22,US0331,2,1,Found,nan,US222,US22US0331,67
US,US22,22,US0331,2,2,Played,Not needed,US222,US22US0331,68
US,US22,22,US0055,3,1,Found,nan,US223,US22US0055,69
US,US22,22,US0055,3,2,Played,Not needed,US223,US22US0055,70
US,US23,23,US0201,1,1,Found,nan,US231,US23US0201,71
US,US23,23,US0348,1,2,Received,nan,US231,US23US0348,72
US,US23,23,US0201,1,3,Received,nan,US231,US23US0201,73
US,US23,23,US0201,1,4,Played,Not needed,US231,US23US0201,74
US,US23,23,US0277,2,1,Found,nan,US232,US23US0277,75
US,US23,23,US0277,2,2,Expired,nan,US232,US23US0277,76
US,US24,24,US0370,1,1,Found,nan,US241,US24US0370,77
US,US24,24,US0359,1,2,Received,nan,US241,US24US0359,78
US,US24,24,US0359,1,3,Quit with advantage,nan,US241,US24US0359,79
US,US24,24,US0371,2,1,Found,nan,US242,US24US0371,80
US,US24,24,US0371,2,2,Expired,nan,US242,US24US0371,81
US,US24,24,US0364,3,1,Found,nan,US243,US24US0364,82
US,US24,24,US0364,3,2,Played,Not needed,US243,US24US0364,83
US,US25,25,US0196,1,1,Found,nan,US251,US25US0196,84
US,US25,25,US0196,1,2,Played,Yes,US251,US25US0196,85
US,US25,25,US0383,2,1,Found,nan,US252,US25US0383,86
US,US25,25,US0383,2,2,Played,Yes,US252,US25US0383,87
US,US25,25,US0384,3,1,Found,nan,US253,US25US0384,88
US,US25,25,US0384,3,2,Expired,nan,US253,US25US0384,89
US,US26,26,US0394,1,1,Found,nan,US261,US26US0394,90
US,US26,26,US0394,1,2,Played,Not needed,US261,US26US0394,91
US,US26,26,US0384,2,1,Found,nan,US262,US26US0384,92
US,US26,26,US0384,2,2,Played,Not needed,US262,US26US0384,93
US,US26,26,US0394,3,1,Found,nan,US263,US26US0394,94
US,US26,26,US0394,3,2,Played,Not needed,US263,US26US0394,95
US,US26,26,US0384,4,1,Found,nan,US264,US26US0384,96
US,US26,26,US0384,4,2,Played,Yes,US264,US26US0384,97
US,US26,26,US0246,5,1,Found,nan,US265,US26US0246,98
US,US26,26,US0333,5,2,Received,nan,US265,US26US0333,99
US,US26,26,US0333,5,3,Voted out with advantage,nan,US265,US26US0333,100
US,US27,27,US0274,1,1,Found,nan,US271,US27US0274,101
US,US27,27,US0274,1,2,Played,Not needed,US271,US27US0274,102
US,US27,27,US0274,2,1,Found,nan,US272,US27US0274,103
US,US27,27,US0274,2,2,Played,Not needed,US272,US27US0274,104
US,US28,28,US0408,1,1,Found,nan,US281,US28US0408,105
US,US28,28,US0408,1,2,Voted out with advantage,nan,US281,US28US0408,106
US,US28,28,US0424,2,1,Found,nan,US282,US28US0424,107
US,US28,28,US0424,2,2,Played,Not needed,US282,US28US0424,108
US,US28,28,US0416,3,1,Found,nan,US283,US28US0416,109
US,US28,28,US0416,3,2,Played,Not needed,US283,US28US0416,110
US,US28,28,US0421,4,1,Found,nan,US284,US28US0421,111
US,US28,28,US0421,4,2,Played,Not needed,US284,US28US0421,112
US,US28,28,US0424,5,1,Found,nan,US285,US28US0424,113
US,US28,28,US0424,5,2,Expired,nan,US285,US28US0424,114
US,US28,28,US0424,6,1,Found,nan,US286,US28US0424,115
US,US28,28,US0424,6,2,Played,Not needed,US286,US28US0424,116
US,US29,29,US0427,1,1,Found,nan,US291,US29US0427,117
US,US29,29,US0427,1,2,Voted out with advantage,nan,US291,US29US0427,118
US,US29,29,US0439,2,1,Found,nan,US292,US29US0439,119
US,US29,29,US0439,2,2,Played,Yes,US292,US29US0439,120
US,US29,29,US0437,3,1,Found,nan,US293,US29US0437,121
US,US29,29,US0437,3,2,Played,Yes,US293,US29US0437,122
US,US29,29,US0442,4,1,Found,nan,US294,US29US0442,123
US,US29,29,US0442,4,2,Played,Yes,US294,US29US0442,124
US,US29,29,US0437,5,1,Found,nan,US295,US29US0437,125
US,US29,29,US0437,5,2,Voted out with advantage,nan,US295,US29US0437,126
