Version,Version_Season,Season,Full_Name,Castaway_Id,Order,Result,Jury_Status,Place,Jury,Finalist,Winner,Season_Castaway_Id,Finale_Categorization,Era
US,US01,1,Sonja Christopher,US0001,1.0,1st voted out,nan,16,False,False,False,US01US0001,Voted out pre-jury,Old School (pre-advantage)
US,US01,1,B.B. Andersen,US0002,2.0,2nd voted out,nan,15,False,False,False,US01US0002,Voted out pre-jury,Old School (pre-advantage)
US,US01,1,Stacey Stillman,US0003,3.0,3rd voted out,nan,14,False,False,False,US01US0003,Voted out pre-jury,Old School (pre-advantage)
US,US01,1,Ramona Gray,US0004,4.0,4th voted out,nan,13,False,False,False,US01US0004,Voted out pre-jury,Old School (pre-advantage)
US,US01,1,Dirk Been,US0005,5.0,5th voted out,nan,12,False,False,False,US01US0005,Voted out pre-jury,Old School (pre-advantage)
US,US01,1,Joel Klug,US0006,6.0,6th voted out,nan,11,False,False,False,US01US0006,Voted out pre-jury,Old School (pre-advantage)
US,US01,1,Gretchen Cordy,US0007,7.0,7th voted out,nan,10,False,False,False,US01US0007,Voted out pre-jury,Old School (pre-advantage)
US,US01,1,Greg Buis,US0008,8.0,8th voted out,1st jury member,9,True,False,False,US01US0008,Jury,Old School (pre-advantage)
US,US01,1,Jenna Lewis,US0009,9.0,9th voted out,2nd jury member,8,True,False,False,US01US0009,Jury,Old School (pre-advantage)
US,US08,8,Jenna Lewis,US0009,16.0,14th voted out,7th jury member,3,True,False,False,US08US0009,Jury,Old School (pre-advantage)
US,US50,50,Jenna Lewis,US0009,,nan,nan,24,False,True,True,US50US0009,Winner,New Era
US,US01,1,Gervase Peterson,US0010,10.0,10th voted out,3rd jury member,7,True,False,False,US01US0010,Jury,Old School (pre-advantage)
US,US27,27,Gervase Peterson,US0010,21.0,2nd runner-up,nan,3,False,True,False,US27US0010,Finalist,New School
US,US01,1,Colleen Haskell,US0011,11.0,11th voted out,4th jury member,6,True,False,False,US01US0011,Jury,Old School (pre-advantage)
US,US01,1,Sean Kenniff,US0012,12.0,12th voted out,5th jury member,5,True,False,False,US01US0012,Jury,Old School (pre-advantage)
US,US01,1,Susan Hawk,US0013,13.0,13th voted out,6th jury member,4,True,False,False,US01US0013,Jury,Old School (pre-advantage)
US,US08,8,Susan Hawk,US0013,6.0,Quit,nan,13,False,False,False,US08US0013,Voted out pre-jury,Old School (pre-advantage)
US,US01,1,Rudy Boesch,US0014,14.0,14th voted out,7th jury member,3,True,False,False,US01US0014,Jury,Old School (pre-advantage)
US,US08,8,Rudy Boesch,US0014,2.0,2nd voted out,nan,17,False,False,False,US08US0014,Voted out pre-jury,Old School (pre-advantage)
US,US01,1,Kelly Wiglesworth,US0015,15.0,Runner-up,nan,2,False,True,False,US01US0015,Finalist,Old School (pre-advantage)
US,US31,31,Kelly Wiglesworth,US0015,10.0,9th voted out,3rd jury member,11,True,False,False,US31US0015,Jury,New School
US,US01,1,Richard Hatch,US0016,16.0,Sole Survivor,nan,1,False,True,True,US01US0016,Winner,Old School (pre-advantage)
US,US08,8,Richard Hatch,US0016,5.0,4th voted out,nan,14,False,False,False,US08US0016,Voted out pre-jury,Old School (pre-advantage)
US,US02,2,Debb Eaton,US0017,1.0,1st voted out,nan,16,False,False,False,US02US0017,Voted out pre-jury,Old School (pre-advantage)
US,US02,2,Kel Gleason,US0018,2.0,2nd voted out,nan,15,False,False,False,US02US0018,Voted out pre-jury,Old School (pre-advantage)
US,US02,2,Maralyn Hershey,US0019,3.0,3rd voted out,nan,14,False,False,False,US02US0019,Voted out pre-jury,Old School (pre-advantage)
US,US02,2,Mitchell Olson,US0020,4.0,4th voted out,nan,13,False,False,False,US02US0020,Voted out pre-jury,Old School (pre-advantage)
